Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Vishing
88.23220255890988,11,0 days 00:18:23,0 days 00:02:19,0 days 00:05:14,65.49244220496088,0
90.72784049558629,16,0 days 00:11:18,0 days 00:01:11,0 days 00:05:33,77.22811791283041,0
89.04145064107466,19,0 days 00:11:26,0 days 00:01:09,0 days 00:03:05,75.81545699965804,0
88.17324774495346,23,0 days 00:13:27,0 days 00:02:02,0 days 00:03:47,63.880850983692056,0
86.35482199008356,17,0 days 00:17:46,0 days 00:02:05,0 days 00:05:35,66.61673524981613,0
89.68841169599985,8,0 days 00:16:35,0 days 00:02:30,0 days 00:04:29,76.50605235098183,0
86.56380816894038,10,0 days 00:15:10,0 days 00:01:11,0 days 00:05:41,64.878755790226,0
93.3765950117312,12,0 days 00:14:40,0 days 00:02:35,0 days 00:05:24,66.63204291334262,0
94.45494140751543,19,0 days 00:13:55,0 days 00:01:48,0 days 00:05:24,66.86133864846174,0
85.75162278238666,16,0 days 00:18:38,0 days 00:01:58,0 days 00:04:19,76.02084055651534,0
91.87587557123997,14,0 days 00:19:33,0 days 00:02:15,0 days 00:05:42,60.740605312100335,0
87.93342379629357,16,0 days 00:10:41,0 days 00:01:01,0 days 00:04:09,61.47573966242829,0
88.52066841640898,21,0 days 00:13:08,0 days 00:02:12,0 days 00:04:12,71.56903096325875,0
93.88394957438992,12,0 days 00:11:47,0 days 00:01:25,0 days 00:05:24,67.94223981992133,0
81.0655408729683,6,0 days 00:16:36,0 days 00:01:30,0 days 00:03:51,72.65770639221415,0
81.30693949552311,23,0 days 00:15:01,0 days 00:01:33,0 days 00:04:32,65.32922552358765,1
80.30327596160488,5,0 days 00:19:09,0 days 00:02:48,0 days 00:05:13,78.19165354963121,0
92.48929768321906,14,0 days 00:15:38,0 days 00:02:27,0 days 00:03:00,75.21883774348912,0
91.67235126424775,13,0 days 00:17:37,0 days 00:01:20,0 days 00:03:23,61.35492441100792,0
93.0501822237023,23,0 days 00:13:20,0 days 00:01:49,0 days 00:05:38,75.67810954570068,0
94.67927513349146,16,0 days 00:15:09,0 days 00:01:08,0 days 00:04:50,79.39164744624503,0
91.98737846325085,24,0 days 00:19:12,0 days 00:02:04,0 days 00:03:38,78.84871241174946,0
86.92219043379397,22,0 days 00:14:16,0 days 00:01:34,0 days 00:05:48,74.70967596050896,0
91.70793764429683,20,0 days 00:14:48,0 days 00:01:30,0 days 00:04:21,62.47187506962431,0
81.774116388034,8,0 days 00:16:36,0 days 00:02:42,0 days 00:05:07,71.52153531680908,0
89.59881531991286,15,0 days 00:14:04,0 days 00:02:24,0 days 00:05:23,65.68465457680978,0
82.1502993111357,19,0 days 00:10:20,0 days 00:01:37,0 days 00:04:14,79.40425887272494,1
94.17003375574376,20,0 days 00:14:09,0 days 00:01:22,0 days 00:03:18,74.34971450723219,0
87.82772482625107,6,0 days 00:18:21,0 days 00:02:01,0 days 00:03:27,72.21531179574839,0
86.21992909985785,17,0 days 00:16:10,0 days 00:01:42,0 days 00:03:51,73.90176085209453,0
83.9683341815694,16,0 days 00:17:26,0 days 00:01:48,0 days 00:05:04,68.75958258219362,1
91.61350534151325,12,0 days 00:10:54,0 days 00:02:26,0 days 00:05:50,67.45473502875214,0
86.84225498324822,16,0 days 00:16:04,0 days 00:02:45,0 days 00:03:47,78.71599158879928,0
88.52650923302973,18,0 days 00:15:43,0 days 00:01:20,0 days 00:04:21,66.63854269585373,0
80.28184700654533,7,0 days 00:10:09,0 days 00:01:43,0 days 00:04:59,60.82872263465438,0
89.26453245613816,6,0 days 00:18:02,0 days 00:01:07,0 days 00:05:49,68.01680308308914,0
89.18143584083631,21,0 days 00:18:00,0 days 00:02:05,0 days 00:05:11,75.80680705243344,0
89.25400995312135,6,0 days 00:19:42,0 days 00:01:45,0 days 00:04:57,72.9693671609784,0
94.15622117771936,21,0 days 00:17:55,0 days 00:01:30,0 days 00:05:33,79.2434155095575,0
90.22730448655226,6,0 days 00:15:21,0 days 00:01:12,0 days 00:04:48,62.12403735238275,0
85.39261850860679,6,0 days 00:14:49,0 days 00:02:09,0 days 00:04:19,78.23092604458768,0
86.55547930699012,17,0 days 00:15:53,0 days 00:01:56,0 days 00:03:21,67.37698387828124,0
90.46446793890897,11,0 days 00:12:11,0 days 00:01:21,0 days 00:04:00,69.48005170843825,0
80.90338207443905,13,0 days 00:15:57,0 days 00:02:09,0 days 00:03:29,68.56964308978469,0
90.00150073168501,13,0 days 00:12:02,0 days 00:01:16,0 days 00:03:22,62.32904562184883,0
90.0595680442724,18,0 days 00:18:35,0 days 00:01:43,0 days 00:03:24,64.95592911450377,0
